,Zeitstempel,I use the following databases for my scientific illustrations:,Regarding BioIcons,Is it easy to use the current BioIcons website?,"If you know about BioIcons, have you ever submitted or thought about submitting illustrations using the webform or via PullRequest?",I use the following tools to draw scientific illustrations or to assemble icons from BioIcons in illustrations,Which proposed features do you think are most useful to you: [Extension of the icon catalog based on community requests],Which proposed features do you think are most useful to you: [Collaborative web editor],Which proposed features do you think are most useful to you: [Templating mechanism to share graphics created using BioIcons for others to reuse],Which proposed features do you think are most useful to you: [Workshops on illustration licensing and creating illustrations using BioIcons],Country,Position
444,26.04.2024 15:52:18,"BioIcons, BioRender, Wikimedia Commons",I want to use it but the catalog is too limited.,Yes.,"No, but I plan to submit illustrations.",Affinity designer,High priority,Low priority,Nice to have,Nice to have,Sweden,PhD student
445,01.05.2024 22:34:31,"BioIcons, BioRender, Wikimedia Commons",I want to use it but the catalog is too limited.,Yes.,"No, but I plan to submit illustrations.",Inkscape,High priority,Unnecessary,Unnecessary,Unnecessary,USA,Professor
446,17.05.2024 16:53:52,"BioIcons, BioRender",I want to use it but the catalog is too limited.,Yes.,"No, but I plan to submit illustrations.",Inkscape,High priority,Nice to have,Nice to have,Nice to have,USA,Professor
447,04.06.2024 19:29:20,"BioIcons, BioRender, Wikimedia Commons",I want to use it but the catalog is too limited.,Yes.,"No, but I plan to submit illustrations.","Inkscape, Microsoft PowerPoint",High priority,Nice to have,Nice to have,Nice to have,USA,Professor
448,06.07.2024 08:33:17,BioIcons,I want to use it but the catalog is too limited.,Yes.,"No, but I plan to submit illustrations.",Inkscape,High priority,High priority,Nice to have,Nice to have,,Undergraduate
449,09.07.2024 16:50:15,"BioIcons, Reactome, Wikimedia Commons",I want to use it but the catalog is too limited.,Yes.,"No, but I plan to submit illustrations.","Inkscape, Microsoft PowerPoint",High priority,Low priority,Nice to have,Nice to have,USA,PostDoc
450,25.07.2024 09:03:37,"BioIcons, BioRender",I want to use it but the catalog is too limited.,Yes.,"No, but I plan to submit illustrations.","Adobe Illustrator, Microsoft PowerPoint",Nice to have,Nice to have,Nice to have,Nice to have,Japan,Professor
451,29.07.2024 00:57:31,BioIcons,I want to use it but the catalog is too limited.,Yes.,"No, but I plan to submit illustrations.",Microsoft PowerPoint,High priority,High priority,High priority,High priority,India,PhD student
452,28.08.2024 05:41:53,"BioIcons, BioRender, SciDraw",I want to use it but the catalog is too limited.,Yes.,"No, but I plan to submit illustrations.",BioRender WebEditor,Nice to have,Nice to have,Nice to have,Nice to have,,
453,28.08.2024 17:23:20,"BioIcons, BioRender, MindTheGraph",I want to use it but the catalog is too limited.,Yes.,"No, but I plan to submit illustrations.","BioRender WebEditor, Microsoft PowerPoint",Nice to have,Nice to have,Nice to have,Nice to have,,Undergraduate
454,04.09.2024 17:31:17,"BioIcons, Wikimedia Commons",I want to use it but the catalog is too limited.,Yes.,"No, but I plan to submit illustrations.",Inkscape,Nice to have,High priority,High priority,High priority,USA,Professor
455,08.09.2024 03:15:31,BioRender,I want to use it but the catalog is too limited.,Yes.,"No, but I plan to submit illustrations.",Microsoft PowerPoint,,,,,,
456,18.09.2024 17:23:27,"BioIcons, ",I want to use it but the catalog is too limited.,Yes.,"No, but I plan to submit illustrations.",Microsoft PowerPoint,,,Unnecessary,,,Undergraduate
457,24.09.2024 09:08:41,"BioIcons, BioRender",I want to use it but the catalog is too limited.,Yes.,"No, but I plan to submit illustrations.","BioRender WebEditor, Microsoft PowerPoint",Nice to have,Nice to have,Nice to have,Nice to have,,Research Associate
458,29.09.2024 15:36:54,,I want to use it but the catalog is too limited.,Yes.,"No, but I plan to submit illustrations.",Adobe Illustrator,High priority,Low priority,Nice to have,Low priority,Austria,Professor
459,09.10.2024 06:35:58,"BioIcons, BioRender, MindTheGraph, TogoTV/DBCLS, SMART by Servier, SciDraw, Reactome, Open ClipArt, Wikimedia Commons, FreePik, Adobe Stock, Other Stocklibrary such as Vecteezy",I want to use it but the catalog is too limited.,Yes.,"No, but I plan to submit illustrations.",Microsoft PowerPoint,Nice to have,Nice to have,Nice to have,Nice to have,,master's
460,11.10.2024 02:01:34,"BioIcons, BioRender",I want to use it but the catalog is too limited.,Yes.,"No, but I plan to submit illustrations.","Inkscape, Adobe Illustrator, Microsoft PowerPoint",High priority,High priority,High priority,Low priority,Industry,permanent academic staff
461,20.10.2024 06:23:11,"BioIcons, BioRender, TogoTV/DBCLS, SciDraw",I want to use it but the catalog is too limited.,Yes.,"No, but I plan to submit illustrations.",BioRender WebEditor,Nice to have,Low priority,Nice to have,Low priority,,permanent academic staff
462,21.10.2024 15:31:19,"BioIcons, SciDraw",I want to use it but the catalog is too limited.,Yes.,"No, but I plan to submit illustrations.","Adobe Illustrator, Microsoft PowerPoint",High priority,High priority,High priority,High priority,,Undergraduate
463,23.10.2024 17:22:46,"BioIcons, BioRender, Wikimedia Commons",I want to use it but the catalog is too limited.,Yes.,"No, but I plan to submit illustrations.","Inkscape, Microsoft PowerPoint",High priority,Nice to have,Nice to have,High priority,,PhD student
464,26.10.2024 12:01:03,"BioIcons, BioRender, Adobe Stock",I want to use it but the catalog is too limited.,Yes.,"No, but I plan to submit illustrations.","Inkscape, Microsoft PowerPoint",Unnecessary,Low priority,Low priority,Nice to have,Russia,Professor
465,29.10.2024 11:53:14,BioRender,I want to use it but the catalog is too limited.,Yes.,"No, but I plan to submit illustrations.",Microsoft PowerPoint,High priority,Nice to have,Nice to have,High priority,India,PhD student
466,29.10.2024 19:22:51,BioIcons,I want to use it but the catalog is too limited.,Yes.,"No, but I plan to submit illustrations.",Inkscape,Nice to have,Low priority,Nice to have,Low priority,UK,Professor
467,30.10.2024 11:16:20,"BioIcons, BioRender, SMART by Servier",I want to use it but the catalog is too limited.,Yes.,"No, but I plan to submit illustrations.",Microsoft PowerPoint,Nice to have,Nice to have,High priority,Nice to have,,PhD student
468,30.08.2024 18:58:57,"BioIcons, Reactome",Haven't used it yet but will do so in the future,Yes.,"No, but I plan to submit illustrations.","Inkscape, Google Drawing",Nice to have,Nice to have,Nice to have,,USA,PhD student
469,11.11.2023 11:11:16,BioRender,I do not use it because my university/lab has a premium subscription to Biorender or MindTheGraph.,,"No, but I plan to submit illustrations.","Adobe Illustrator, BioRender WebEditor",High priority,High priority,High priority,High priority,,PostDoc
470,06.05.2024 09:31:54,"BioIcons, BioRender, SciDraw",I do not use it because my university/lab has a premium subscription to Biorender or MindTheGraph.,,"No, but I plan to submit illustrations.",,,,,,,Biology Teacher
471,14.09.2023 15:04:08,"BioIcons, Reactome, Wikimedia Commons, phylopic","I use it for my illustrations, and the catalog is already big enough for me.",,"No, but I plan to submit illustrations.",Inkscape,Nice to have,Nice to have,Low priority,Unnecessary,Brazil,PostDoc
472,23.01.2024 08:36:28,"SciDraw, Other Stocklibrary such as Vecteezy, ","I use it for my illustrations, and the catalog is already big enough for me.",,"No, but I plan to submit illustrations.",Adobe Illustrator,Unnecessary,Unnecessary,Unnecessary,Unnecessary,,PhD student
473,07.03.2024 10:35:02,"BioIcons, BioRender, MindTheGraph, TogoTV/DBCLS, SMART by Servier, SciDraw, Reactome, Open ClipArt, Wikimedia Commons, FreePik, Adobe Stock, Other Stocklibrary such as Vecteezy",I want to use it but the catalog is too limited.,,"No, but I plan to submit illustrations.",Inkscape,High priority,Nice to have,Nice to have,Nice to have,,PhD student
474,11.03.2024 10:59:51,non yet,Haven't used it yet but will do so in the future,Have never used it.,"No, because I lack the artistic skills to share my illustrations.",,,,,,Netherlands,permanent academic staff
475,17.04.2024 12:32:35,"BioRender, Mayo Clinic archives ",I do not use it because my university/lab has a premium subscription to Biorender or MindTheGraph.,Have never used it.,"No, because I lack the artistic skills to share my illustrations.",Microsoft PowerPoint,High priority,High priority,High priority,Nice to have,USA,
476,29.11.2023 04:26:00,"Open ClipArt, Wikimedia Commons, Adobe Stock","I use it for my illustrations, and the catalog is already big enough for me.",Have never used it.,Yes.,,,,,,,
477,18.12.2023 06:09:12,BioIcons,"I use it for my illustrations, and the catalog is already big enough for me.",Have never used it.,Yes.,Inkscape,High priority,High priority,High priority,High priority,,permanent academic staff
478,01.06.2024 17:39:06,Wikimedia Commons,"I use it for my illustrations, and the catalog is already big enough for me.",Have never used it.,Yes.,Inkscape,High priority,High priority,High priority,High priority,,Undergraduate
479,15.07.2024 13:20:00,"BioIcons, BioRender, MindTheGraph, SciDraw, Reactome, FreePik","I use it for my illustrations, and the catalog is already big enough for me.",Have never used it.,Yes.,Adobe Illustrator,Low priority,Low priority,Low priority,Low priority,,Undergraduate
480,23.08.2024 15:09:41,BioIcons,"I use it for my illustrations, and the catalog is already big enough for me.",Have never used it.,Yes.,Microsoft PowerPoint,High priority,High priority,High priority,Nice to have,,PostDoc
481,13.09.2023 09:06:50,BioRender,I want to use it but I do not know which editor  I can use.,Have never used it.,Yes.,"Inkscape, Adobe Illustrator, BioRender WebEditor, Microsoft PowerPoint",High priority,High priority,Nice to have,Nice to have,Switzerland,PhD student
482,24.10.2023 09:30:59,BioIcons,I want to use it but I do not know which editor  I can use.,Have never used it.,Yes.,Microsoft PowerPoint,Nice to have,Nice to have,Nice to have,Nice to have,,Professor
483,26.11.2023 13:57:06,BioRender,I want to use it but the catalog is too limited.,Have never used it.,Yes.,Adobe Illustrator,Unnecessary,Nice to have,Nice to have,Nice to have,,PhD student
484,16.04.2024 08:03:26,BioRender,Haven't used it yet but will do so in the future,Have never used it.,Yes.,"BioRender WebEditor, Microsoft PowerPoint",High priority,High priority,Low priority,Nice to have,Turkey,PostDoc
485,15.09.2024 13:11:13,,Haven't used it yet but will do so in the future,Have never used it.,Yes.,Microsoft PowerPoint,,,,,,PhD student
486,07.04.2024 20:42:47,"BioRender, biodraw &",I want to use it but the catalog is too limited.,Yes.,Yes.,Microsoft PowerPoint,Low priority,Low priority,Low priority,High priority,Sweden,Pharma Consultant
487,13.05.2024 07:49:48,TogoTV/DBCLS,I do not use it because my university/lab has a premium subscription to Biorender or MindTheGraph.,It is hard to find the right illustrations.,Yes.,"Adobe Illustrator, BioRender WebEditor",Unnecessary,Unnecessary,Unnecessary,Unnecessary,,
488,01.02.2024 14:20:01,"BioIcons, BioRender, MindTheGraph, SMART by Servier, SciDraw, Reactome, Open ClipArt, Wikimedia Commons, FreePik, Adobe Stock","I use it for my illustrations, and the catalog is already big enough for me.",It is hard to find the right illustrations.,Yes.,Microsoft PowerPoint,Nice to have,Nice to have,Nice to have,Nice to have,,Undergraduate
489,22.04.2024 16:06:23,BioIcons,"I use it for my illustrations, and the catalog is already big enough for me.",It is hard to find the right illustrations.,Yes.,Microsoft PowerPoint,Nice to have,Nice to have,Nice to have,Nice to have,,
490,08.05.2024 10:45:45,BioRender,"I use it for my illustrations, and the catalog is already big enough for me.",It is hard to find the right illustrations.,Yes.,Inkscape,Unnecessary,Unnecessary,Unnecessary,Unnecessary,,Undergraduate
491,01.07.2024 08:20:03,BioRender,I want to use it but I do not know which editor  I can use.,It is hard to find the right illustrations.,Yes.,"Adobe Illustrator, BioRender WebEditor",Nice to have,Nice to have,Low priority,Nice to have,,
492,15.09.2023 14:48:14,"BioIcons, BioRender",I want to use it but the catalog is too limited.,It is hard to find the right illustrations.,Yes.,Adobe Illustrator,High priority,Nice to have,Nice to have,Nice to have,,PhD student
493,07.05.2024 11:49:53,BioIcons,I want to use it but the catalog is too limited.,It is hard to find the right illustrations.,Yes.,Inkscape,High priority,Low priority,Low priority,Low priority,Germany,PostDoc
494,02.07.2024 05:39:14,"BioIcons, BioRender",I want to use it but the catalog is too limited.,It is hard to find the right illustrations.,Yes.,Microsoft PowerPoint,Nice to have,Nice to have,Nice to have,Nice to have,,PhD student
495,18.10.2024 18:37:08,"BioIcons, BioRender",I want to use it but the catalog is too limited.,It is hard to find the right illustrations.,Yes.,Microsoft PowerPoint,Low priority,Nice to have,Nice to have,Low priority,,Undergraduate
496,22.04.2024 14:00:30,"BioIcons, BioRender, Open ClipArt, Wikimedia Commons",I want to use it but the catalog is too limited.,It is hard to find the right illustrations.,Yes.,"Adobe Illustrator, Microsoft PowerPoint",High priority,Low priority,Low priority,Low priority,Australia,PostDoc
497,02.08.2024 04:40:49,BioIcons,I do not use it because I don't need to create illustrations for my work.,No.,Yes.,"Adobe Illustrator, Microsoft PowerPoint",Unnecessary,Unnecessary,Unnecessary,Unnecessary,,Undergraduate
498,18.10.2023 14:04:02,BioRender,"I use it for my illustrations, and the catalog is already big enough for me.",No.,Yes.,Inkscape,Unnecessary,Unnecessary,Unnecessary,Unnecessary,,
499,02.03.2024 21:13:58,BioRender,I want to use it but I do not know which editor  I can use.,No.,Yes.,Microsoft PowerPoint,High priority,High priority,High priority,Nice to have,,PostDoc
500,21.01.2024 14:20:29,"BioIcons, BioRender, MindTheGraph, TogoTV/DBCLS, SMART by Servier, SciDraw, Reactome, Open ClipArt, Wikimedia Commons, FreePik, Adobe Stock, Other Stocklibrary such as Vecteezy",I want to use it but the catalog is too limited.,No.,Yes.,"Adobe Illustrator, Microsoft PowerPoint",Unnecessary,Unnecessary,Unnecessary,Unnecessary,,PhD student
